,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
782,2205581,Lagoa do Piauí,22,PI,439.1417721518987,457.3773809523809,489.0464285714286,475.52025316455695,515.4761904761905
783,2205599,Lagoa do Sítio,22,PI,424.06101694915253,450.1762711864407,467.91016949152544,450.993220338983,503.728813559322
784,2205607,Landri Sales,22,PI,444.70563380281686,479.94729729729727,488.39864864864865,475.4070422535211,568.918918918919
785,2205706,Luís Correia,22,PI,451.8087221095335,481.70986193293885,497.11321499013803,478.3137931034483,564.1420118343195
786,2205805,Luzilândia,22,PI,437.1302103250478,465.58036697247707,482.51082568807345,475.92103250478016,546.8990825688073
787,2205854,Madeiro,22,PI,422.9503937007874,437.42846153846153,461.7776923076923,449.9220472440945,464.15384615384613
788,2205904,Manoel Emídio,22,PI,428.843661971831,448.42602739726027,471.4308219178082,471.7542253521127,484.6575342465753
789,2205953,Marcolândia,22,PI,440.4528846153846,473.709009009009,488.01711711711715,479.8961538461538,547.927927927928
790,2206001,Marcos Parente,22,PI,444.9238095238095,466.5813953488372,481.82790697674415,486.21785714285716,523.2558139534884
791,2206050,Massapê do Piauí,22,PI,439.3784946236559,468.1765957446808,485.4106382978723,502.37419354838715,496.17021276595744
792,2206100,Matias Olímpio,22,PI,425.76162790697674,454.85227272727275,469.5238636363636,463.9686046511628,498.8636363636364
793,2206209,Miguel Alves,22,PI,436.9616724738676,463.8230508474576,477.45152542372887,465.50313588850173,512.4067796610169
794,2206308,Miguel Leão,22,PI,421.82142857142856,431.24,444.47999999999996,468.6928571428571,472.0
795,2206357,Milton Brandão,22,PI,435.76842105263154,479.5396551724138,488.11379310344824,484.8491228070176,568.2758620689655
796,2206407,Monsenhor Gil,22,PI,443.3609865470852,464.98237885462555,484.2982378854625,467.2246636771301,524.8458149779735
797,2206506,Monsenhor Hipólito,22,PI,457.705,481.3282786885246,498.26844262295083,514.4804166666667,575.2459016393443
798,2206605,Monte Alegre do Piauí,22,PI,415.63631578947366,439.72512820512816,458.64461538461535,445.36789473684206,458.15384615384613
799,2206654,Morro Cabeça no Tempo,22,PI,429.4833333333333,431.8452380952381,433.24047619047616,460.1,471.42857142857144
800,2206670,Morro do Chapéu do Piauí,22,PI,427.3798076923077,462.7254716981132,474.7292452830189,460.40865384615387,533.3962264150944
801,2206696,Murici dos Portelas,22,PI,420.6693181818182,456.6296703296704,476.9593406593407,454.14772727272725,537.5824175824176
802,2206704,Nazaré do Piauí,22,PI,435.84066985645933,447.18177570093457,467.48457943925234,464.4885167464115,484.2056074766355
803,2206720,Nazária,22,PI,439.41379310344826,469.6045454545454,498.92954545454546,465.0425287356322,524.3181818181819
804,2206753,Nossa Senhora de Nazaré,22,PI,438.3763005780347,459.904,471.41371428571426,472.05144508670514,520.5714285714286
805,2206803,Nossa Senhora dos Remédios,22,PI,421.3740932642487,437.110101010101,455.29949494949494,453.3844559585492,462.92929292929296
806,2206902,Novo Oriente do Piauí,22,PI,428.64941176470586,454.32758620689657,478.66896551724136,463.32705882352946,514.0229885057471
807,2206951,Novo Santo Antônio,22,PI,442.5660377358491,475.3407407407408,483.32222222222225,489.1943396226415,552.9629629629629
808,2207009,Oeiras,22,PI,448.9610751295337,473.62256442489,489.4343180389692,489.26884715025903,560.9679446888749
809,2207108,Olho D'Água do Piauí,22,PI,438.506,451.1240740740741,470.21111111111117,458.654,549.6296296296297
810,2207207,Padre Marcos,22,PI,434.1155844155844,470.055,487.73125,479.9103896103896,530.25
811,2207306,Paes Landim,22,PI,435.1529411764706,468.0238805970149,478.2716417910448,475.2544117647059,516.7164179104477
812,2207355,Pajeú do Piauí,22,PI,434.6860465116279,464.39431818181816,475.6988636363636,479.76395348837207,507.95454545454544
813,2207405,Palmeira do Piauí,22,PI,450.9913043478261,474.1302631578948,493.0855263157895,485.3710144927536,546.578947368421
814,2207504,Palmeirais,22,PI,422.86474820143883,450.1793333333333,472.9993333333333,452.62805755395686,480.0
815,2207553,Paquetá,22,PI,432.36567164179104,448.5585714285714,465.31,477.2716417910448,487.7142857142857
